"ias","iats","lpa_profile","CPROB1","CPROB2","CPROB3","kmeans_cluster"
81,68,3,0.000158974948543517,0.317522727965659,0.682318297085798,1
71,74,3,6.37653708679616e-06,0.122264532832386,0.877729090630528,1
70,33,1,0.84110136449767,0.158892920976359,5.71452597135562e-06,3
73,49,2,0.0636130468382698,0.931833492213276,0.00455346094845379,3
72,52,2,0.0266024840839193,0.962592322672242,0.0108051932438382,3
87,51,2,0.0775690829465921,0.904638549112183,0.0177923679412246,1
97,33,1,0.960675687891917,0.039317697736049,6.61437203428386e-06,2
78,66,3,0.000371330123084709,0.499566934606701,0.500061735270214,1
79,40,1,0.549338373899559,0.450446083662315,0.000215542438126345,2
94,38,1,0.833780265338638,0.166116172076959,0.000103562584402894,2
64,53,2,0.0129469430026733,0.977708873914348,0.00934418308297816,3
92,29,1,0.982755654644174,0.0172436788841808,6.66471645496846e-07,2
68,55,2,0.00915417947752492,0.969778830944252,0.0210669895782233,3
78,47,2,0.137099500861696,0.859809143383297,0.00309135575500732,1
91,80,3,2.21531579496242e-07,0.00745368098965078,0.99254609747877,1
69,37,1,0.617637655754847,0.382319866945558,4.24772995958088e-05,3
78,58,2,0.0064740135257836,0.908524527576254,0.0850014588979622,1
76,66,2,0.000350497807740251,0.528107260389003,0.471542241803257,1
73,48,2,0.0827606998172388,0.913918496206786,0.00332080397597524,3
76,50,2,0.0570701378992887,0.935631542287447,0.00729831981326393,1
81,63,2,0.00137957790512059,0.670885372732301,0.327735049362578,1
103,40,1,0.825797404789064,0.173874723387158,0.000327871823777503,2
105,79,3,3.9363864517834e-07,0.00451752725745565,0.995482079103899,1
91,45,2,0.368498939744342,0.628873336990218,0.00262772326544042,2
97,25,1,0.995748937304675,0.0042509958530833,6.68422415507859e-08,2
72,29,1,0.948336313516251,0.0516630496632047,6.36820544594375e-07,2
99,44,1,0.548927718974062,0.448869380996861,0.00220290002907727,2
76,25,1,0.986166625503124,0.013833308979584,6.55172924501123e-08,2
97,37,1,0.887476719626589,0.112461396979988,6.18833934231417e-05,2
65,53,2,0.0136836804198229,0.976435542579219,0.00988077700095752,3
78,45,2,0.218762153418688,0.779687843231656,0.00155000334965661,2
89,44,2,0.4090226653122,0.589343958271077,0.00163337641672218,2
76,44,2,0.249183133067624,0.749828143989684,0.000988722942692012,3
77,42,2,0.382090329440841,0.617433038312175,0.000476632246983716,2
74,65,2,0.000493452229717679,0.627735182365849,0.371771365404434,1
56,48,2,0.0333696648828657,0.965302538046004,0.00132779707113049,3
65,37,1,0.562906463936826,0.43705489909135,3.86369718242282e-05,3
86,48,2,0.158027291529818,0.835591041753823,0.00638166671635885,2
81,53,2,0.0327270429500058,0.943454145173169,0.0238188118768256,1
82,71,3,3.47409922915615e-05,0.153042868611164,0.846922390396544,1
77,60,2,0.00328851314751499,0.859373412451664,0.137338074400821,1
91,27,1,0.989557172989182,0.0104426162400981,2.10770719962964e-07,2
74,65,2,0.000493452229717679,0.627735182365849,0.371771365404434,1
82,57,2,0.0107854829534173,0.90967694509545,0.079537571951133,1
92,32,1,0.960652431105781,0.0393438703449238,3.69854929564614e-06,2
71,65,2,0.000442268468048552,0.666841045526807,0.332716686005145,1
73,56,2,0.00901055952808876,0.953905872661386,0.0370835678105249,1
66,35,1,0.705732129588853,0.294252641524954,1.52288861924502e-05,3
65,32,1,0.841011291825708,0.15898551305552,3.19511877226091e-06,3
75,64,2,0.00075203005479713,0.681484655206452,0.317763314738751,1
77,63,2,0.00117915590212969,0.719250178863485,0.279570665234385,1
74,48,2,0.0871468387567529,0.909354637740747,0.00349852350250057,3
61,33,1,0.760720434943443,0.239274419524271,5.14553228585269e-06,3
