"profile","pct_alex","lo_alex","hi_alex","pct_som","lo_som","hi_som","bootmean_alex","bootmean_som","diff","z","p_wald","p_boot"
"Hypervigilant",49.655830008273,37.9069071462974,68.4529671577509,50.344169991727,31.5470328422491,62.0930928537026,50.5150394351306,49.4849605648694,-0.00143696605559626,-0.048774866110233,0.961098712266564,0.966
"Uncertain",64.5528758895193,51.1845321225101,86.8944496079881,35.4471241104807,13.1055503920118,48.8154678774899,65.6165615001643,34.3834384998357,0.0458077363917927,2.10775048059365,0.0350525782686422,0.028
"Efficient",92.5943072383948,64.0184323762678,99.1643474067739,7.40569276160521,0.835652593226086,35.9815676237322,84.5431997948943,15.4568002051057,0.091627725121346,3.59299967640719,0.000326892994084949,0.001
