,IATS,IAS,TAS,SSS-8,PCS,PHQ-9,GAD-7,STAI
IATS,1.0,-0.077906178558222,0.33976216539535975,0.40340420355701007,0.3325713850279352,0.33134422848290607,0.35571187372392615,0.2748307148540501
IAS,-0.077906178558222,1.0,-0.3694256339084928,-0.12437825837036932,-0.07972969304648543,-0.2055420507346293,-0.2021976212860995,-0.2585827235051915
TAS,0.33976216539535975,-0.3694256339084928,1.0,0.4168697974977977,0.3150551462648866,0.5112748916405951,0.5106825812571673,0.5515217230276823
SSS-8,0.40340420355701007,-0.12437825837036932,0.4168697974977977,1.0,0.4503003633263483,0.6803886971761569,0.654600921269298,0.5654931358308893
PCS,0.3325713850279352,-0.07972969304648543,0.3150551462648866,0.4503003633263483,1.0,0.4905135213430355,0.5351822383327713,0.47868649165914157
PHQ-9,0.33134422848290607,-0.2055420507346293,0.5112748916405951,0.6803886971761569,0.4905135213430355,1.0,0.834027952995153,0.7873735320758941
GAD-7,0.35571187372392615,-0.2021976212860995,0.5106825812571673,0.654600921269298,0.5351822383327713,0.834027952995153,1.0,0.7795743635811646
STAI,0.2748307148540501,-0.2585827235051915,0.5515217230276823,0.5654931358308893,0.47868649165914157,0.7873735320758941,0.7795743635811646,1.0
