"outcome","profile","iats_z","slope","se","ci_lo","ci_hi","t","df","p"
"somatic","Hypervigilant",0.97,-0.180002463452675,0.044289342921481,-0.266935054720984,-0.0930698721843661,-4.06423874411041,828,5.27792081212133e-05
"somatic","Uncertain",0.0216,-0.0955491366906047,0.0312694318050503,-0.1569258145772,-0.0341724588040093,-3.05567230278782,828,0.00231760555723776
"somatic","Efficient",-0.8982,-0.0136425888671629,0.0397191758787395,-0.0916047046813905,0.0643195269470647,-0.34347613124736,828,0.731327488740734
"tas","Hypervigilant",0.97,-0.352814139934324,0.0434148210105878,-0.438030190589926,-0.267598089278723,-8.12658285170131,828,1.6023069196861e-15
"tas","Uncertain",0.0216,-0.345786337694353,0.0306519965158617,-0.405951093116332,-0.285621582272375,-11.2810380072768,828,1.48266619487407e-27
"tas","Efficient",-0.8982,-0.338970466226275,0.0389348948915467,-0.415393169305931,-0.262547763146619,-8.70608401975859,828,1.68614261917251e-17
