"n_items","r2"
1,0.183671476524522
2,0.240445671709247
3,0.261197054956524
4,0.276332056468883
5,0.282139310815369
6,0.286301731524784
8,0.315930441025428
10,0.323760620348339
15,0.324936637798031
21,0.327876715324576
30,0.315502025696008
42,0.301661953343891
