,IATS,IAS,VVIQ,TAS,SSS-8,PCS,PHQ-9,GAD-7,STAI
IATS,1.0,-0.07822000260985393,-0.03930820478939598,0.3397093545170729,0.40609846895949814,0.33209580734656363,0.3314823033558981,0.3625960662751272,0.2892199933212628
IAS,-0.07822000260985393,1.0,0.21041219781503828,-0.3690625526236191,-0.12940040943641185,-0.07844787601834971,-0.20633936627116448,-0.21906471804264138,-0.2513195445777516
VVIQ,-0.03930820478939598,0.21041219781503828,1.0,-0.24371228851366797,-0.08372002986229111,-0.08001974550701361,-0.14132132377463535,-0.11171303680982965,-0.17555597518719088
TAS,0.3397093545170729,-0.3690625526236191,-0.24371228851366797,1.0,0.408700182163337,0.3146017550009063,0.5109808736319442,0.5287284639808357,0.5468443551357621
SSS-8,0.40609846895949814,-0.12940040943641185,-0.08372002986229111,0.408700182163337,1.0,0.4475860184969092,0.6743428298904943,0.6474292777055242,0.570823025700933
PCS,0.33209580734656363,-0.07844787601834971,-0.08001974550701361,0.3146017550009063,0.4475860184969092,1.0,0.48857935023379884,0.5240482070979846,0.4903614486268698
PHQ-9,0.3314823033558981,-0.20633936627116448,-0.14132132377463535,0.5109808736319442,0.6743428298904943,0.48857935023379884,1.0,0.8230775899833469,0.7936710947966713
GAD-7,0.3625960662751272,-0.21906471804264138,-0.11171303680982965,0.5287284639808357,0.6474292777055242,0.5240482070979846,0.8230775899833469,1.0,0.8079648892521577
STAI,0.2892199933212628,-0.2513195445777516,-0.17555597518719088,0.5468443551357621,0.570823025700933,0.4903614486268698,0.7936710947966713,0.8079648892521577,1.0
